"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.86614579358141e-268,1.32977420536144,0.299,0.124,7.18084167123886e-264,"11","Nubp1"
7.85182681117396e-268,0.753155930239287,0.57,0.34,1.96719668927152e-263,"11","Smchd1"
1.52488636251832e-266,1.25637609775573,0.347,0.158,3.8204502926534e-262,"11","G6pdx"
8.46656899660043e-266,1.31513493382333,0.279,0.111,2.12121419640827e-261,"11","Man2a1"
3.56440804039268e-263,0.787681017818093,0.452,0.219,8.93026790439983e-259,"11","Tnfaip8"
4.21378602242894e-263,1.06094882595484,0.449,0.235,1.05572195005935e-258,"11","Lman2"
2.86250241897549e-262,0.332442620307863,0.993,0.928,7.17171356050119e-258,"11","Rps2"
1.11797980771045e-261,1.18731445965772,0.404,0.201,2.80098661023775e-257,"11","Magt1"
1.91012692359728e-261,0.41676893802204,0.486,0.235,4.78563199438063e-257,"11","Cebpd"
3.38409470131352e-257,1.18849661091837,0.394,0.196,8.47851086467089e-253,"11","Ywhag"
3.49604312317635e-256,0.645604401449849,0.835,0.71,8.75898644080603e-252,"11","Pomp"
2.78859998363875e-255,1.23286224675857,0.269,0.106,6.98655839900852e-251,"11","Rap2b"
7.32928466079563e-255,0.510058088862605,0.253,0.092,1.83627897891574e-250,"11","Hcst"
1.67929008673189e-254,0.73462976056736,0.772,0.599,4.20729338329807e-250,"11","Ptp4a2"
1.89554771940723e-250,1.39162397263788,0.287,0.122,4.74910525620287e-246,"11","Rnf166"
2.13923451573312e-250,0.663494056352013,0.796,0.625,5.35963815571776e-246,"11","Bri3"
1.59858118887177e-246,0.268291941581566,0.999,0.989,4.00508531059934e-242,"11","Rpl21"
2.48805670346336e-245,1.28366465296802,0.31,0.137,6.2335772648571e-241,"11","Fem1c"
5.86651036182705e-245,1.27863854900399,0.291,0.124,1.46979550605215e-240,"11","Ogfr"
1.09103184566222e-244,1.0273814062341,0.441,0.234,2.73347118612213e-240,"11","Fam107b"
2.41130176278847e-244,0.813881167232451,0.632,0.416,6.04127543649023e-240,"11","Taf10"
6.1304991065687e-241,1.45382645474215,0.27,0.113,1.53593524615972e-236,"11","Herc4"
1.42938756976536e-240,0.305081137712596,1,0.996,3.58118761729014e-236,"11","Rpl41"
3.48137685713794e-240,0.766115826129722,0.514,0.288,8.72224157787338e-236,"11","Qk"
1.01953587552973e-239,1.51641056950356,0.322,0.153,2.55434518255218e-235,"11","Zfyve9"
1.92304680061622e-239,1.11792177043733,0.387,0.195,4.81800145426389e-235,"11","Tiparp"
5.7952662383996e-239,0.409256448875603,0.956,0.875,1.45194600336864e-234,"11","Rpl4"
6.45218239407214e-239,0.856518470602823,0.606,0.4,1.61652977701083e-234,"11","Clint1"
8.15288205330663e-239,0.869609704186089,0.418,0.212,2.04262306963544e-234,"11","Ets2"
1.18269935347829e-238,0.556424725429145,0.835,0.682,2.96313496020451e-234,"11","Atp6v0b"
1.47281836324777e-235,1.02758730898735,0.588,0.382,3.68999912728096e-231,"11","Dek"
1.23668009184253e-233,1.1552592049415,0.301,0.132,3.09837830210229e-229,"11","Sptlc2"
1.35931618479983e-233,1.31706223377216,0.267,0.111,3.4056307693975e-229,"11","Dock11"
3.79628110266099e-233,0.389528370949625,0.976,0.941,9.51120267460685e-229,"11","Naca"
5.529801832201e-233,1.12960689298946,0.354,0.171,1.38543655103964e-228,"11","Hpcal1"
1.03592648909808e-230,1.14137279153702,0.388,0.2,2.59541022578632e-226,"11","Ist1"
2.73243892237298e-230,1.00577901314811,0.437,0.236,6.84585247611327e-226,"11","Nt5c"
3.89159189637591e-228,1.30754508531793,0.277,0.119,9.7499943371802e-224,"11","Blvra"
1.86061608828513e-227,0.863195103735451,0.35,0.161,4.66158754758957e-223,"11","4930523C07Rik"
2.79687946615301e-227,0.849090974069667,0.332,0.151,7.00730181449976e-223,"11","Rbpms"
4.71128666152502e-227,1.34202582632213,0.262,0.11,1.18036576017848e-222,"11","Cnpy3"
